Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,201.13262719859807,204.56352564043607,5.0351633912705385,-0.3442608870882861,0.006799999999999917,0.0072,0.006399999999999961,817.7777777777777,0.00011930759230831822,0.00011930759230831822,0.00011930759230831822,0_1:0.007710848659308767,0_1:327.1111111111111
1,173.7457460027534,162.80740493037663,5.1550184844993,-0.3420755285088729,0.01319999999999999,0.0136,0.012800000000000034,817.7777777777777,0.0004436391190673484,0.0004436391190673484,0.0004436391190673484,1_0:0.007710848659308767; 1_4:0.006890244021486552; 1_2:0.0029869416591176423,1_0:359.1111111111111; 1_4:181.33333333333331; 1_2:270.22222222222223
2,113.99956116444855,147.78998526163508,5.256350121346016,-0.3396746340929643,0.016799999999999926,0.020000000000000018,0.0136,817.7777777777777,0.00017495821587898937,0.00017495821587898937,0.00017495821587898937,2_3:0.009976478482897289; 2_1:0.0029869416591176423,2_3:352; 2_1:206.2222222222222
3,166.51303055032216,32.38299608744174,5.097435273504678,-0.3426974517619815,0.01200000000000001,0.016,0.008000000000000007,817.7777777777777,0.00021255651142608803,0.00021255651142608803,0.00021255651142608803,3_5:0.005620752031978676; 3_2:0.009976478482897289,3_5:252.44444444444443; 3_2:416
4,120.6041068861878,13.53027235251335,5.072823769417229,-0.3428593329111622,0.009099999999999997,0.011,0.007199999999999984,817.7777777777777,0.0002950407769942561,0.0002950407769942561,0.0002950407769942561,4_7:0.017587786948143558; 4_1:0.006890244021486552,4_7:263.1111111111111; 4_1:245.33333333333331
5,82.1329547117361,108.78268447925704,5.206978879056577,-0.34103575141973025,0.009199999999999986,0.014599999999999946,0.0038,817.7777777777777,0.0007393067854544308,0.0007393067854544308,0.0007393067854544308,5_3:0.005620752031978676; 5_8:1,5_3:188.44444444444443; 5_8:593.7777777777777
6,101.30728381447892,138.65188133386928,5.020510353791091,-0.344459714463088,0.018100000000000005,0.0196,0.016599999999999948,817.7777777777777,0.00023205935798192913,0.00023205935798192913,0.00023205935798192913,6_7:0.004568595518943425,6_7:284.44444444444446
7,96.4977038377397,264.46736944408065,4.919058840078729,-0.34681187889228726,0.008700000000000041,0.010800000000000032,0.0066,817.7777777777777,0.00011215791352431341,0.00011215791352431341,0.00011215791352431341,7_6:0.004568595518943425; 7_4:0.017587786948143558; 7_10:0.004102628981633716,7_6:316.4444444444444; 7_4:327.1111111111111; 7_10:202.66666666666666
8,204.3574510778542,213.59324070916526,5.031262532726632,-0.344655741983344,0.0262,0.03920000000000001,0.0132,817.7777777777777,0.00018449842009548334,0.00018449842009548334,0.00018449842009548334,8_9:0.008558500104194539; 8_11:0.006365589172682484; 8_5:1,8_9:572.4444444444445; 8_11:344.88888888888886; 8_5:561.7777777777777
9,171.12870018285557,465.2181023539073,4.87478098591483,-0.34512580457831693,0.09689999999999999,0.0338,0.16000000000000003,817.7777777777777,0.00017500651391364106,0.00017500651391364106,0.00017500651391364106,9_8:0.008558500104194539,9_8:540.4444444444445
10,130.22268064055748,182.3469187674968,4.8211828582383935,-0.34904028505215795,0.012599999999999945,0.017,0.008199999999999985,817.7777777777777,0.00021174331499637279,0.00021174331499637279,0.00021174331499637279,10_12:0.005880951357093073; 10_7:0.004102628981633716,10_12:298.66666666666663; 10_7:266.66666666666663
11,121.72357097895234,212.55919143495274,5.162112554880659,-0.34139674860394525,0.0847,0.0866,0.08279999999999998,817.7777777777777,0.0001984016959322189,0.0001984016959322189,0.0001984016959322189,11_14:0.008448193894850325; 11_8:0.006365589172682484,11_14:728.8888888888888; 11_8:280.88888888888886
12,207.0437725367396,157.37317444670805,4.718526182453281,-0.3491294979563877,0.014599999999999946,0.0146,0.014599999999999946,817.7777777777777,0.0001870065262055991,0.0001870065262055991,0.0001870065262055991,12_13:0.00645447331980345; 12_10:0.005880951357093073; 12_15:0.008951975417339025,12_13:437.3333333333333; 12_10:330.66666666666663; 12_15:408.88888888888886
13,190.46298973013347,236.15137847642362,4.963030130549178,-0.34380579275621304,0.05719999999999992,0.0578,0.056599999999999984,817.7777777777777,0.00016176880037249404,0.00016176880037249404,0.00016176880037249404,13_12:0.00645447331980345; 13_14:0.005441391140078522,13_12:405.3333333333333; 13_14:366.22222222222223
14,102.85321747796148,23.20751320873632,5.046611362942732,-0.3441152248069847,0.005900000000000016,0.008399999999999963,0.0034,817.7777777777777,0.00021173914006545873,0.00021173914006545873,0.00021173914006545873,14_13:0.005441391140078522; 14_11:0.008448193894850325; 14_16:0.019164921708157062,14_13:334.22222222222223; 14_11:696.8888888888888; 14_16:440.88888888888886
15,95.10526676543994,28.233843042391026,4.923652001028674,-0.3183599100684413,0.02849999999999997,0.027599999999999958,0.0294,817.7777777777777,0.0005005379372591869,0.0005005379372591869,0.0005005379372591869,15_12:0.008951975417339025; 15_18:0.031094654648900738,15_12:376.88888888888886; 15_18:636.4444444444445
16,120.38472808512017,292.0118565620607,4.883358103574887,-0.3459132501021413,0.009100000000000108,0.0106,0.007600000000000051,817.7777777777777,0.0001909970194093495,0.0001909970194093495,0.0001909970194093495,16_19:0.00605987253536619; 16_14:0.019164921708157062,16_19:359.1111111111111; 16_14:472.88888888888886
17,115.36800792003892,49.49724463383192,5.222431963494871,-0.33930844300247065,0.02190000000000003,0.0246,0.019199999999999995,817.7777777777777,0.0007280472342130274,0.0007280472342130274,0.0007280472342130274,17_18:0.019004270567231613,17_18:462.2222222222222
18,179.4171309480774,56.736758900451214,4.967698680427049,-0.34576142521544906,0.016000000000000014,0.015,0.017000000000000015,817.7777777777777,0.0008746491178153546,0.0008746491178153546,0.0008746491178153546,18_17:0.019004270567231613; 18_15:0.031094654648900738; 18_21:0.0054921138398250635,18_17:494.2222222222222; 18_15:604.4444444444445; 18_21:241.77777777777777
19,117.26283235228465,175.77402697388737,5.002454568915595,-0.3450520255249151,0.009400000000000075,0.011800000000000033,0.007,817.7777777777777,0.00018927898052287443,0.00018927898052287443,0.00018927898052287443,19_16:0.00605987253536619; 19_22:0.00750361629688967; 19_20:1,19_16:327.1111111111111; 19_22:248.88888888888889; 19_20:380.4444444444444
20,69.92582917322797,59.274864596982496,5.095781333706246,-0.3410175284732265,0.005600000000000049,0.007,0.0041999999999999815,817.7777777777777,0.0001931298453105018,0.0001931298453105018,0.0001931298453105018,20_19:1,20_19:348.4444444444444
21,117.75652251117245,30.354874453210765,4.839272643344585,-0.3475556814081998,0.008399999999999963,0.009199999999999986,0.0076,817.7777777777777,0.00020010822562062575,0.00020010822562062575,0.00020010822562062575,21_23:0.008885674743491306; 21_18:0.0054921138398250635,21_23:576; 21_18:305.77777777777777
22,71.01236678308807,75.05752872616522,4.919538006108908,-0.3465227286960821,0.013500000000000068,0.01419999999999999,0.0128,817.7777777777777,0.00016096820195251322,0.00016096820195251322,0.00016096820195251322,22_19:0.00750361629688967; 22_25:0.008160933007994892,22_19:280.88888888888886; 22_25:344.88888888888886
23,91.27723914552769,161.17501890013773,4.920309189999274,-0.3443362354124738,0.011900000000000022,0.011600000000000055,0.0122,817.7777777777777,0.000208032370225979,0.000208032370225979,0.000208032370225979,23_21:0.008885674743491306; 23_24:0.00844453830599512,23_21:608; 23_24:352
24,153.23697166393717,37.924274197967684,4.991657778383639,-0.34429521005259517,0.00770000000000004,0.008000000000000007,0.0074,817.7777777777777,0.00021276133436244672,0.00021276133436244672,0.00021276133436244672,24_23:0.00844453830599512; 24_25:0.019641149740368985,24_23:320; 24_25:576
25,210.7442612939136,112.9956172746546,4.81289666509963,-0.34698401102242854,0.008299999999999974,0.0084,0.008199999999999985,817.7777777777777,0.00014264710069545176,0.00014264710069545176,0.00014264710069545176,25_22:0.008160933007994892; 25_24:0.019641149740368985; 25_26:0.00541173270393272,25_22:312.88888888888886; 25_24:608; 25_26:259.55555555555554
26,87.18427297776941,26.805148462239412,5.019601051680936,-0.34327757947603954,0.011300000000000088,0.015000000000000013,0.0076,817.7777777777777,0.0002036177502188865,0.0002036177502188865,0.0002036177502188865,26_25:0.00541173270393272,26_25:195.55555555555554
